pickup_zone,dropoff_zone,pickup_date,passenger_count,trip_distance,total_amount,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,pickup_datetime
Morningside Heights,Lincoln Square West,2023-01-01,1.0,2.58,24.18,40.81,-73.96,40.773,-73.984,2023-01-01
Bloomingdale,Central Park,2023-01-01,1.0,1.81,15.84,40.797,-73.97,40.7812,-73.9665,2023-01-01
Central Harlem,Upper West Side North,2023-01-01,1.0,1.3,10.2,40.8116,-73.9465,40.787,-73.975,2023-01-01
Central Harlem,East Harlem North,2023-01-01,1.0,1.1,8.0,40.8116,-73.9465,40.798,-73.937,2023-01-01
Central Harlem,Yorkville East,2023-01-01,1.0,2.78,22.95,40.8116,-73.9465,0.0,0.0,2023-01-01
Park Slope,Chinatown,2023-01-01,2.0,3.8,29.2,0.0,0.0,0.0,0.0,2023-01-01
Bloomingdale,East Harlem South,2023-01-01,1.0,1.88,16.7,40.797,-73.97,0.0,0.0,2023-01-01
Central Harlem,Morningside Heights,2023-01-01,2.0,1.11,10.7,40.8116,-73.9465,40.81,-73.96,2023-01-01
Bloomingdale,Lenox Hill East,2023-01-01,1.0,4.22,32.95,40.797,-73.97,0.0,0.0,2023-01-01
Williamsburg (North Side),Union Sq,2023-01-01,2.0,4.8,32.05,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,Lenox Hill East,2023-01-01,1.0,1.99,19.98,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,Lower East Side,2023-01-01,1.0,7.08,38.55,0.0,0.0,0.0,0.0,2023-01-01
DUMBO/Vinegar Hill,Williamsburg (North Side),2023-01-01,1.0,3.23,24.24,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (North Side),Penn Station/Madison Sq West,2023-01-01,1.0,5.91,41.15,0.0,0.0,0.0,0.0,2023-01-01
Red Hook,Sheepshead Bay,2023-01-01,1.0,11.3,34.5,0.0,0.0,0.0,0.0,2023-01-01
Elmhurst/Maspeth,Jackson Heights,2023-01-01,1.0,1.3,15.0,0.0,0.0,0.0,0.0,2023-01-01
Fort Greene,East Chelsea,2023-01-01,1.0,8.28,54.55,0.0,0.0,0.0,0.0,2023-01-01
Astoria,Woodside,2023-01-01,1.0,2.02,15.3,0.0,0.0,0.0,0.0,2023-01-01
Central Harlem,East Harlem South,2023-01-01,1.0,0.96,11.1,40.8116,-73.9465,0.0,0.0,2023-01-01
East Harlem South,East Harlem North,2023-01-01,1.0,0.96,12.12,0.0,0.0,40.798,-73.937,2023-01-01
Central Harlem North,Central Harlem North,2023-01-01,1.0,0.53,8.3,0.0,0.0,0.0,0.0,2023-01-01
Central Harlem,Bloomingdale,2023-01-01,4.0,1.51,13.9,40.8116,-73.9465,40.797,-73.97,2023-01-01
Central Harlem North,Central Harlem North,2023-01-01,3.0,0.88,9.7,0.0,0.0,0.0,0.0,2023-01-01
Morningside Heights,Washington Heights South,2023-01-01,1.0,2.48,22.56,40.81,-73.96,0.0,0.0,2023-01-01
Williamsburg (North Side),Long Island City/Queens Plaza,2023-01-01,1.0,3.53,26.76,0.0,0.0,0.0,0.0,2023-01-01
Forest Hills,Kew Gardens Hills,2023-01-01,1.0,2.25,16.7,0.0,0.0,0.0,0.0,2023-01-01
Woodside,North Corona,2023-01-01,1.0,2.78,25.92,0.0,0.0,0.0,0.0,2023-01-01
Kew Gardens,South Ozone Park,2023-01-01,1.0,4.29,25.08,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,Lincoln Square East,2023-01-01,1.0,2.53,18.75,0.0,0.0,0.0,0.0,2023-01-01
Central Harlem,Upper West Side North,2023-01-01,1.0,1.7,13.75,40.8116,-73.9465,40.787,-73.975,2023-01-01
Forest Hills,Outside of NYC,2023-01-01,1.0,10.44,59.52,0.0,0.0,0.0,0.0,2023-01-01
DUMBO/Vinegar Hill,Midtown South,2023-01-01,4.0,6.78,75.66,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,East Harlem North,2023-01-01,2.0,1.39,10.4,0.0,0.0,40.798,-73.937,2023-01-01
Steinway,Astoria,2023-01-01,1.0,1.31,15.0,0.0,0.0,0.0,0.0,2023-01-01
Elmhurst/Maspeth,Elmhurst/Maspeth,2023-01-01,1.0,6.7,5.5,0.0,0.0,0.0,0.0,2023-01-01
Woodside,Forest Hills,2023-01-01,1.0,3.52,21.6,0.0,0.0,0.0,0.0,2023-01-01
Jamaica,Jamaica,2023-01-01,1.0,1.74,16.68,0.0,0.0,0.0,0.0,2023-01-01
Jamaica,Forest Hills,2023-01-01,1.0,2.31,20.2,0.0,0.0,0.0,0.0,2023-01-01
Astoria,Steinway,2023-01-01,1.0,1.37,13.2,0.0,0.0,0.0,0.0,2023-01-01
Woodhaven,East Williamsburg,2023-01-01,1.0,10.35,49.6,0.0,0.0,0.0,0.0,2023-01-01
Central Harlem,East Harlem South,2023-01-01,6.0,1.05,8.16,40.8116,-73.9465,0.0,0.0,2023-01-01
Jackson Heights,Steinway,2023-01-01,5.0,3.23,21.72,0.0,0.0,0.0,0.0,2023-01-01
DUMBO/Vinegar Hill,Clinton East,2023-01-01,3.0,6.19,78.05,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (North Side),Long Island City/Queens Plaza,2023-01-01,1.0,2.8,21.6,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,Yorkville West,2023-01-01,1.0,1.13,15.78,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,Lincoln Square West,2023-01-01,1.0,3.19,27.11,0.0,0.0,40.773,-73.984,2023-01-01
Forest Hills,Forest Hills,2023-01-01,1.0,1.26,13.32,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (North Side),East Williamsburg,2023-01-01,1.0,2.87,18.1,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (North Side),Clinton East,2023-01-01,1.0,8.55,58.35,0.0,0.0,0.0,0.0,2023-01-01
Jamaica,Rego Park,2023-01-01,1.0,4.46,30.81,0.0,0.0,0.0,0.0,2023-01-01
Astoria,Woodside,2023-01-01,1.0,1.18,13.0,0.0,0.0,0.0,0.0,2023-01-01
Hamilton Heights,Upper West Side North,2023-01-01,5.0,2.5,18.1,0.0,0.0,40.787,-73.975,2023-01-01
Morningside Heights,Westchester Village/Unionport,2023-01-01,5.0,9.01,39.8,40.81,-73.96,0.0,0.0,2023-01-01
Astoria,Steinway,2023-01-01,1.0,0.63,11.25,0.0,0.0,0.0,0.0,2023-01-01
Jackson Heights,Sunnyside,2023-01-01,1.0,2.08,16.0,0.0,0.0,0.0,0.0,2023-01-01
Bloomingdale,Upper West Side South,2023-01-01,1.0,1.47,19.83,40.797,-73.97,0.0,0.0,2023-01-01
Jackson Heights,Sunnyside,2023-01-01,2.0,7.83,54.5,0.0,0.0,0.0,0.0,2023-01-01
Jackson Heights,Sunnyside,2023-01-01,2.0,2.15,16.0,0.0,0.0,0.0,0.0,2023-01-01
Flushing,Prospect Heights,2023-01-01,1.0,12.73,53.8,0.0,0.0,0.0,0.0,2023-01-01
East Harlem South,Central Harlem,2023-01-01,1.0,1.62,13.9,0.0,0.0,40.8116,-73.9465,2023-01-01
Central Harlem North,Mott Haven/Port Morris,2023-01-01,1.0,1.26,9.7,0.0,0.0,0.0,0.0,2023-01-01
Downtown Brooklyn/MetroTech,Midtown East,2023-01-01,2.0,7.3,37.8,0.0,0.0,0.0,0.0,2023-01-01
East Harlem North,Lenox Hill West,2023-01-01,1.0,2.73,22.93,40.798,-73.937,0.0,0.0,2023-01-01
East Harlem North,Central Harlem,2023-01-01,1.0,1.1,10.0,40.798,-73.937,40.8116,-73.9465,2023-01-01
Bedford,Brooklyn Heights,2023-01-01,1.0,2.5,18.1,0.0,0.0,0.0,0.0,2023-01-01
Manhattanville,Lenox Hill East,2023-01-01,2.0,4.9,38.46,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (North Side),Long Island City/Hunters Point,2023-01-01,1.0,2.17,19.2,0.0,0.0,0.0,0.0,2023-01-01
East Harlem North,Manhattan Valley,2023-01-01,1.0,2.02,16.0,40.798,-73.937,0.0,0.0,2023-01-01
Central Harlem North,Hamilton Heights,2023-01-01,1.0,0.6,7.6,0.0,0.0,0.0,0.0,2023-01-01
Central Harlem,East Harlem North,2023-01-01,1.0,0.8,9.0,40.8116,-73.9465,40.798,-73.937,2023-01-01
DUMBO/Vinegar Hill,Red Hook,2023-01-01,1.0,2.39,24.38,0.0,0.0,0.0,0.0,2023-01-01
Sheepshead Bay,Sheepshead Bay,2023-01-01,1.0,1.1,8.0,0.0,0.0,0.0,0.0,2023-01-01
Greenpoint,East Williamsburg,2023-01-01,1.0,1.23,14.16,0.0,0.0,0.0,0.0,2023-01-01
Williamsburg (North Side),West Village,2023-01-01,1.0,4.9,43.56,0.0,0.0,0.0,0.0,2023-01-01
East Concourse/Concourse Village,Penn Station/Madison Sq West,2023-01-01,1.0,10.45,53.75,0.0,0.0,0.0,0.0,2023-01-01
Washington Heights North,University Heights/Morris Heights,2023-01-01,2.0,2.23,16.0,0.0,0.0,0.0,0.0,2023-01-01
Elmhurst,Middle Village,2023-01-01,1.0,2.21,15.3,0.0,0.0,0.0,0.0,2023-01-01
Woodside,Yorkville East,2023-01-01,1.0,5.2,40.14,0.0,0.0,0.0,0.0,2023-01-01
